,dates,CA,TX,WI
145,2011-06-23,0.0,2.45,5.25
146,2011-06-24,0.0,0.1,0.4
147,2011-06-25,0.0,0.35,0.0
148,2011-06-26,0.0,0.0,0.0
149,2011-06-27,0.1,0.55,3.25
150,2011-06-28,0.2,0.7,0.35
151,2011-06-29,0.0,0.5,0.0
152,2011-06-30,0.0,0.15000000000000002,3.2
153,2011-07-01,0.0,0.3,3.4
154,2011-07-02,0.0,0.45,2.15
155,2011-07-03,0.05,0.8999999999999999,0.0
156,2011-07-04,15.6,0.0,0.0
157,2011-07-05,18.7,0.05,4.55
158,2011-07-06,4.2,0.0,1.4
159,2011-07-07,1.1,0.1,0.25
160,2011-07-08,1.6500000000000001,0.05,0.25
161,2011-07-09,0.35,0.7,3.45
162,2011-07-10,0.0,4.6,9.700000000000001
163,2011-07-11,0.0,2.45,6.15
164,2011-07-12,0.1,5.4,0.2
165,2011-07-13,0.05,0.75,0.15
166,2011-07-14,0.3,0.6,0.1
167,2011-07-15,0.0,0.05,1.2
168,2011-07-16,0.05,1.4000000000000001,7.699999999999999
169,2011-07-17,0.0,0.9,10.2
170,2011-07-18,0.0,0.5,18.55
171,2011-07-19,0.0,2.8,4.0
172,2011-07-20,0.0,1.5499999999999998,2.75
173,2011-07-21,0.0,0.4,0.05
174,2011-07-22,0.0,3.65,3.0999999999999996
175,2011-07-23,0.05,0.0,10.3
176,2011-07-24,0.8,0.4,1.15
177,2011-07-25,0.05,0.05,1.2
178,2011-07-26,0.0,0.6,0.0
179,2011-07-27,0.0,0.0,29.65
180,2011-07-28,0.0,0.65,15.9
181,2011-07-29,0.8,2.65,3.8000000000000003
182,2011-07-30,7.25,0.5,2.75
183,2011-07-31,25.4,0.15000000000000002,6.5
184,2011-08-01,0.65,0.05,3.15
185,2011-08-02,0.8,0.1,12.0
186,2011-08-03,0.15000000000000002,0.0,12.0
187,2011-08-04,0.0,0.0,0.05
188,2011-08-05,0.0,0.0,0.05
189,2011-08-06,0.0,0.0,7.550000000000001
190,2011-08-07,0.0,0.05,8.4
191,2011-08-08,0.0,0.0,3.25
192,2011-08-09,0.0,0.15,4.3
193,2011-08-10,0.05,0.05,0.0
194,2011-08-11,0.1,0.35,1.45
195,2011-08-12,0.2,0.15,5.5
196,2011-08-13,1.2,1.1,15.35
197,2011-08-14,0.0,0.75,0.55
198,2011-08-15,0.0,1.1,0.3
199,2011-08-16,0.0,0.35,3.1999999999999997
200,2011-08-17,0.0,0.0,14.95
201,2011-08-18,0.0,0.0,0.55
202,2011-08-19,0.0,0.0,2.7
203,2011-08-20,0.0,0.1,6.5
204,2011-08-21,0.0,0.1,0.8
205,2011-08-22,0.0,0.0,0.05
206,2011-08-23,0.3,0.0,13.75
207,2011-08-24,0.0,0.0,2.55
208,2011-08-25,0.1,4.35,0.0
209,2011-08-26,4.0,0.0,0.0
210,2011-08-27,5.050000000000001,0.0,0.05
211,2011-08-28,1.1,0.0,0.0
212,2011-08-29,0.0,2.2,0.0
213,2011-08-30,0.0,0.2,2.05
214,2011-08-31,0.0,0.1,2.85
215,2011-09-01,0.0,0.1,0.25
216,2011-09-02,0.0,0.0,15.7
217,2011-09-03,0.0,0.0,10.25
218,2011-09-04,0.0,0.0,1.25
219,2011-09-05,0.35,0.0,0.75
220,2011-09-06,0.1,0.0,0.0
221,2011-09-07,0.0,0.0,0.0
222,2011-09-08,0.0,0.0,0.0
223,2011-09-09,0.0,0.0,0.15000000000000002
224,2011-09-10,1.25,0.0,0.15
225,2011-09-11,0.0,0.0,1.1500000000000001
226,2011-09-12,0.0,0.0,0.25
227,2011-09-13,2.5,0.0,3.55
228,2011-09-14,0.44999999999999996,2.75,0.0
